n,Algorithm,Total_Distance_mm,CPU_Time_s,Time_Per_Point_ms
50,NN,2259.6023,0.001000,0.0200
50,Greedy,2031.1951,0.005505,0.1101
50,2-opt,1956.5015,0.003000,0.0600
50,SA,1927.2947,0.406944,8.1389
198,NN,3779.1324,0.002000,0.0101
198,Greedy,3529.3125,0.365007,1.8435
198,2-opt,3265.7062,0.030013,0.1516
198,SA,3246.7464,2.129364,10.7544
442,NN,12565.3899,0.009505,0.0215
442,Greedy,12033.4287,4.384004,9.9186
442,2-opt,10979.1645,0.197821,0.4476
442,SA,10844.5246,9.831590,22.2434
1173,NN,14697.8986,0.068738,0.0586
1173,Greedy,14070.6735,95.392390,81.3234
1173,2-opt,12663.6776,2.059512,1.7558
1173,SA,13220.6939,37.628006,32.0784
