Step,Feeder_ID,Mount_ID,From_X,From_Y,Feeder_X,Feeder_Y,Mount_X,Mount_Y,Segment_Distance_mm
1,15,53,150.0,100.0,145.0,0.0,174.0,10.0,144.0
2,18,75,174.0,10.0,175.0,0.0,199.0,29.0,64.0
3,22,74,199.0,29.0,215.0,0.0,232.0,22.0,84.0
4,23,6,232.0,22.0,225.0,0.0,239.0,25.0,68.0
5,26,35,239.0,25.0,255.0,0.0,262.0,40.0,88.0
6,30,81,262.0,40.0,295.0,0.0,290.0,32.0,110.0
7,28,37,290.0,32.0,275.0,0.0,275.0,85.0,132.0
8,22,73,275.0,85.0,215.0,0.0,234.0,44.0,208.0
9,25,61,234.0,44.0,245.0,0.0,249.0,104.0,163.0
10,25,98,249.0,104.0,245.0,0.0,252.0,119.0,234.0
11,17,93,252.0,119.0,165.0,0.0,193.0,25.0,259.0
12,18,25,193.0,25.0,175.0,0.0,194.0,48.0,110.0
13,20,60,194.0,48.0,195.0,0.0,213.0,76.0,143.0
14,22,42,213.0,76.0,215.0,0.0,236.0,118.0,217.0
15,23,56,236.0,118.0,225.0,0.0,237.0,132.0,273.0
16,30,59,237.0,132.0,295.0,0.0,291.0,99.0,293.0
17,28,96,291.0,99.0,275.0,0.0,277.0,131.0,248.0
18,27,55,277.0,131.0,265.0,0.0,273.0,132.0,283.0
19,28,80,273.0,132.0,275.0,0.0,278.0,162.0,299.0
20,26,86,278.0,162.0,255.0,0.0,262.0,171.0,363.0
21,16,4,262.0,171.0,155.0,0.0,176.0,65.0,364.0
22,9,95,176.0,65.0,85.0,0.0,113.0,23.0,207.0
23,7,79,113.0,23.0,65.0,0.0,92.0,8.0,106.0
24,7,82,92.0,8.0,65.0,0.0,88.0,47.0,105.0
25,9,19,88.0,47.0,85.0,0.0,110.0,76.0,151.0
26,6,57,110.0,76.0,55.0,0.0,88.0,39.0,203.0
27,4,76,88.0,39.0,35.0,0.0,43.0,52.0,152.0
28,5,32,43.0,52.0,45.0,0.0,49.0,87.0,145.0
29,3,28,49.0,87.0,25.0,0.0,40.0,64.0,190.0
30,2,39,40.0,64.0,15.0,0.0,18.0,87.0,179.0
31,2,48,18.0,87.0,15.0,0.0,18.0,99.0,192.0
32,1,77,18.0,99.0,5.0,0.0,11.0,99.0,217.0
33,1,91,11.0,99.0,5.0,0.0,12.0,130.0,242.0
34,3,36,12.0,130.0,25.0,0.0,32.0,123.0,273.0
35,1,13,32.0,123.0,5.0,0.0,17.0,126.0,288.0
36,3,23,17.0,126.0,25.0,0.0,29.0,167.0,305.0
37,5,49,29.0,167.0,45.0,0.0,61.0,137.0,336.0
38,6,65,61.0,137.0,55.0,0.0,83.0,120.0,291.0
39,10,62,83.0,120.0,95.0,0.0,131.0,114.0,282.0
40,14,78,131.0,114.0,135.0,0.0,167.0,92.0,242.0
41,15,90,167.0,92.0,145.0,0.0,172.0,101.0,242.0
42,16,17,172.0,101.0,155.0,0.0,175.0,118.0,256.0
43,19,18,175.0,118.0,185.0,0.0,201.0,137.0,281.0
44,21,66,201.0,137.0,205.0,0.0,222.0,120.0,278.0
45,21,89,222.0,120.0,205.0,0.0,216.0,154.0,302.0
46,23,83,216.0,154.0,225.0,0.0,238.0,188.0,364.0
47,26,52,238.0,188.0,255.0,0.0,260.0,214.0,424.0
48,30,24,260.0,214.0,295.0,0.0,288.0,179.0,435.0
49,29,12,288.0,179.0,285.0,0.0,285.0,225.0,407.0
50,27,45,285.0,225.0,265.0,0.0,265.0,247.0,492.0
51,27,84,265.0,247.0,265.0,0.0,265.0,255.0,502.0
52,24,97,265.0,255.0,235.0,0.0,246.0,245.0,541.0
53,24,21,246.0,245.0,235.0,0.0,241.0,261.0,523.0
54,12,71,241.0,261.0,115.0,0.0,143.0,121.0,536.0
55,14,43,143.0,121.0,135.0,0.0,163.0,149.0,306.0
56,12,7,163.0,149.0,115.0,0.0,151.0,123.0,356.0
57,15,64,151.0,123.0,145.0,0.0,168.0,168.0,320.0
58,18,68,168.0,168.0,175.0,0.0,193.0,196.0,389.0
59,20,50,193.0,196.0,195.0,0.0,214.0,212.0,429.0
60,19,44,214.0,212.0,185.0,0.0,204.0,207.0,467.0
61,13,67,204.0,207.0,125.0,0.0,151.0,154.0,466.0
62,14,88,151.0,154.0,135.0,0.0,164.0,166.0,365.0
63,10,27,164.0,166.0,95.0,0.0,122.0,136.0,398.0
64,11,11,122.0,136.0,105.0,0.0,135.0,146.0,329.0
65,11,92,135.0,146.0,105.0,0.0,134.0,148.0,353.0
66,11,63,134.0,148.0,105.0,0.0,141.0,164.0,377.0
67,10,99,141.0,164.0,95.0,0.0,113.0,183.0,411.0
68,12,8,113.0,183.0,115.0,0.0,147.0,199.0,416.0
69,17,20,147.0,199.0,165.0,0.0,185.0,233.0,470.0
70,19,16,185.0,233.0,185.0,0.0,199.0,256.0,503.0
71,21,41,199.0,256.0,205.0,0.0,219.0,245.0,521.0
72,24,2,219.0,245.0,235.0,0.0,248.0,276.0,550.0
73,25,9,248.0,276.0,245.0,0.0,260.0,276.0,570.0
74,29,14,260.0,276.0,285.0,0.0,288.0,287.0,591.0
75,29,87,288.0,287.0,285.0,0.0,279.0,295.0,591.0
76,20,51,279.0,295.0,195.0,0.0,215.0,262.0,661.0
77,16,100,215.0,262.0,155.0,0.0,177.0,243.0,587.0
78,7,47,177.0,243.0,65.0,0.0,93.0,172.0,555.0
79,9,5,93.0,172.0,85.0,0.0,111.0,195.0,401.0
80,10,38,111.0,195.0,95.0,0.0,121.0,213.0,450.0
81,8,33,121.0,213.0,75.0,0.0,106.0,200.0,490.0
82,2,46,106.0,200.0,15.0,0.0,20.0,182.0,478.0
83,2,54,20.0,182.0,15.0,0.0,25.0,201.0,398.0
84,3,34,25.0,201.0,25.0,0.0,40.0,198.0,414.0
85,4,3,40.0,198.0,35.0,0.0,45.0,199.0,412.0
86,4,70,45.0,199.0,35.0,0.0,45.0,215.0,434.0
87,6,30,45.0,215.0,55.0,0.0,80.0,226.0,476.0
88,8,10,80.0,226.0,75.0,0.0,107.0,240.0,503.0
89,9,72,107.0,240.0,85.0,0.0,110.0,247.0,534.0
90,13,58,110.0,247.0,125.0,0.0,163.0,242.0,542.0
91,17,85,163.0,242.0,165.0,0.0,178.0,288.0,545.0
92,13,94,178.0,288.0,125.0,0.0,156.0,263.0,635.0
93,8,31,156.0,263.0,75.0,0.0,101.0,261.0,631.0
94,8,40,101.0,261.0,75.0,0.0,104.0,265.0,581.0
95,4,1,104.0,265.0,35.0,0.0,45.0,258.0,602.0
96,5,26,45.0,258.0,45.0,0.0,72.0,266.0,551.0
97,6,29,72.0,266.0,55.0,0.0,83.0,266.0,577.0
98,7,69,83.0,266.0,65.0,0.0,94.0,281.0,594.0
99,5,15,94.0,281.0,45.0,0.0,60.0,292.0,637.0
100,1,22,60.0,292.0,5.0,0.0,10.0,270.0,622.0
